Time  1 - default sample rate [s]	DD1_L [mV/V]	DD1_R [mV/V]
0	0.000	0.000	
0.01000	0.000	0.000	
0.02000	0.000	0.000	
0.03000	0.000	0.000	
0.04000	0.000	0.000	
0.05000	0.000	0.000	
0.06000	0.000	0.000	
0.07000	0.000	0.000	
0.08000	0.000	0.000	
0.09000	0.000	0.000	
0.1000	0.000	0.000	
0.1100	0.000	0.000	
0.1200	0.000	0.000	
0.1300	0.000	0.000	
0.1400	0.000	0.000	
0.1500	0.000	0.000	
0.1600	0.000	0.000	
0.1700	0.000	0.000	
0.1800	0.000	0.000	
0.1900	0.000	0.000	
0.2000	0.000	0.000	
0.2100	0.000	0.000	
0.2200	0.000	0.000	
0.2300	0.000	0.000	
0.2400	0.000	0.000	
0.2500	0.000	0.000	
0.2600	0.000	0.000	
0.2700	0.000	0.000	
0.2800	0.000	0.000	
0.2900	0.000	0.000	
0.3000	0.000	0.000	
0.3100	0.000	0.000	
0.3200	0.000	0.000	
0.3300	0.000	0.000	
0.3400	0.000	0.000	
0.3500	0.000	0.000	
0.3600	0.000	0.000	
0.3700	0.000	0.000	
0.3800	0.000	0.000	
0.3900	0.000	0.000	
0.4000	0.000	0.000	
0.4100	0.000	0.000	
0.4200	-0.00011	0.000	
0.4300	-0.00011	0.000	
0.4400	0.000	0.000	
0.4500	0.000	0.000	
0.4600	0.000	0.000	
0.4700	0.000	0.000	
0.4800	0.000	0.000	
0.4900	0.000	0.000	
0.5000	-0.00011	0.000	
0.5100	0.000	0.000	
0.5200	0.000	0.000	
0.5300	0.000	0.000	
0.5400	0.000	0.000	
0.5500	0.000	0.000	
0.5600	0.000	0.000	
0.5700	0.000	0.000	
0.5800	0.000	0.000	
0.5900	0.000	0.000	
0.6000	0.000	0.000	
0.6100	-0.00010	0.000	
0.6200	-0.00010	0.000	
0.6300	-0.00011	0.000	
0.6400	-0.00012	0.000	
0.6500	-0.00011	0.000	
0.6600	0.000	0.000	
0.6700	0.000	0.000	
0.6800	-0.00012	0.000	
0.6900	-0.00011	0.000	
0.7000	0.000	0.000	
0.7100	0.000	0.000	
0.7200	0.000	0.000	
0.7300	0.000	0.000	
0.7400	0.000	0.000	
0.7500	0.000	0.000	
0.7600	0.000	0.000	
0.7700	0.000	0.000	
0.7800	0.000	0.000	
0.7900	0.000	0.000	
0.8000	0.000	0.000	
0.8100	0.000	0.000	
0.8200	0.000	0.000	
0.8300	0.000	0.000	
0.8400	0.000	0.000	
0.8500	0.000	0.000	
0.8600	0.000	0.000	
0.8700	0.000	0.000	
0.8800	0.000	0.000	
0.8900	0.000	0.000	
0.9000	-0.00011	0.000	
0.9100	-0.00012	0.000	
0.9200	-0.00011	0.000	
0.9300	-0.00011	0.000	
0.9400	0.000	0.000	
0.9500	0.000	0.000	
0.9600	0.000	0.000	
0.9700	0.000	0.000	
0.9800	0.000	0.000	
0.9900	0.000	0.000	
1.000	0.000	0.000	
1.010	0.000	0.000	
1.020	-0.00011	0.000	
1.030	-0.00013	0.000	
1.040	-0.00011	0.000	
1.050	0.000	0.000	
1.060	-0.00011	0.000	
1.070	-0.00013	0.000	
1.080	-0.00012	0.000	
1.090	0.000	0.000	
1.100	0.000	0.000	
1.110	0.000	0.000	
1.120	0.000	0.000	
1.130	-0.00011	0.000	
1.140	0.000	0.000	
1.150	0.000	0.000	
1.160	0.000	0.000	
1.170	0.000	0.000	
1.180	0.000	0.000	
1.190	0.000	0.000	
1.200	0.000	0.000	
1.210	-0.00010	0.000	
1.220	0.000	0.000	
1.230	0.000	0.000	
1.240	-0.00012	0.000	
1.250	-0.00012	0.000	
1.260	-0.00011	0.000	
1.270	0.000	0.000	
1.280	0.000	0.000	
1.290	0.000	0.000	
1.300	0.000	0.000	
1.310	0.000	0.000	
1.320	-0.00012	0.000	
1.330	-0.00012	0.000	
1.340	-0.00012	0.000	
1.350	-0.00012	0.000	
1.360	0.000	0.000	
1.370	0.000	0.000	
1.380	0.000	0.000	
1.390	-0.00011	0.000	
1.400	0.000	0.000	
1.410	0.000	0.000	
1.420	0.000	0.000	
1.430	0.000	0.000	
1.440	0.000	0.000	
1.450	-0.00012	0.000	
1.460	-0.00014	0.000	
1.470	-0.00012	0.000	
1.480	0.000	0.000	
1.490	0.000	0.000	
1.500	0.000	0.000	
1.510	0.000	0.000	
1.520	0.000	0.000	
1.530	-0.00010	0.000	
1.540	0.000	0.000	
1.550	0.000	0.000	
1.560	-0.00012	0.000	
1.570	0.000	0.000	
1.580	-0.00011	0.000	
1.590	-0.00011	0.000	
1.600	0.000	0.000	
1.610	-0.00011	0.000	
1.620	-0.00010	0.000	
1.630	0.000	0.000	
1.640	0.000	0.000	
1.650	0.000	0.000	
1.660	0.000	0.000	
1.670	0.000	0.000	
1.680	0.000	0.000	
1.690	0.000	0.000	
1.700	0.000	0.000	
1.710	0.000	0.000	
1.720	0.000	0.000	
1.730	-0.00011	0.000	
1.740	0.000	0.000	
1.750	0.000	0.000	
1.760	0.000	0.000	
1.770	0.000	0.000	
1.780	0.000	0.000	
1.790	0.000	0.000	
1.800	0.000	0.000	
1.810	-0.00010	0.000	
1.820	0.000	0.000	
1.830	0.000	0.000	
1.840	-0.00012	0.000	
1.850	-0.00014	0.000	
1.860	-0.00013	0.000	
1.870	-0.00013	0.000	
1.880	-0.00014	0.000	
1.890	-0.00014	0.000	
1.900	-0.00013	0.000	
1.910	-0.00011	0.000	
1.920	0.000	0.000	
1.930	-0.00010	0.000	
1.940	-0.00013	0.000	
1.950	-0.00013	0.000	
1.960	0.000	0.000	
1.970	0.000	0.000	
1.980	0.000	0.000	
1.990	0.000	0.000	
2.000	0.000	0.000	
2.010	0.000	0.000	
2.020	0.000	0.000	
2.030	-0.00011	0.000	
2.040	-0.00014	0.000	
2.050	-0.00010	0.000	
2.060	0.000	0.000	
2.070	0.000	0.000	
2.080	0.000	0.000	
2.090	0.000	0.000	
2.100	-0.00011	0.000	
2.110	-0.00010	0.000	
2.120	0.000	0.000	
2.130	0.000	0.000	
2.140	0.000	0.000	
2.150	0.000	0.000	
2.160	0.000	0.000	
2.170	0.000	0.000	
2.180	0.000	0.000	
2.190	-0.00011	0.000	
2.200	-0.00011	0.000	
2.210	-0.00011	0.000	
2.220	-0.00012	0.000	
2.230	-0.00012	0.000	
2.240	-0.00013	0.000	
2.250	-0.00012	0.000	
2.260	0.000	0.000	
2.270	-0.00010	0.000	
2.280	-0.00013	0.000	
2.290	-0.00013	0.000	
2.300	-0.00011	0.000	
2.310	0.000	0.000	
2.320	0.000	0.000	
2.330	0.000	0.000	
2.340	0.000	0.000	
2.350	0.000	0.000	
2.360	0.000	0.000	
2.370	-0.00011	0.000	
2.380	-0.00012	0.000	
2.390	0.000	0.000	
2.400	0.000	0.000	
2.410	-0.00010	0.000	
2.420	0.000	0.000	
2.430	-0.00010	0.000	
2.440	0.000	0.000	
2.450	0.000	0.000	
2.460	0.000	0.000	
2.470	0.000	0.000	
2.480	0.000	0.000	
2.490	0.000	0.000	
2.500	0.000	0.000	
2.510	0.000	0.000	
2.520	0.000	0.000	
2.530	0.000	0.000	
2.540	-0.00012	0.000	
2.550	-0.00015	0.000	
2.560	-0.00013	0.000	
2.570	-0.00011	0.000	
2.580	-0.00010	0.000	
2.590	-0.00012	0.000	
2.600	-0.00013	0.000	
2.610	0.000	0.000	
2.620	0.000	0.000	
2.630	0.000	0.000	
2.640	0.000	0.000	
2.650	0.000	0.000	
2.660	0.000	0.000	
2.670	0.000	0.000	
2.680	0.000	0.000	
2.690	-0.00013	0.000	
2.700	-0.00014	0.000	
2.710	-0.00015	0.000	
2.720	-0.00016	0.000	
2.730	-0.00014	0.000	
